"State and Local General Expenditures, Per Capita, FY 2006",,,,
State,Total,Highways,Population (thousands),
AL.................................................................................,"6,320    ",415    ,"4,629    ",
AR.................................................................................,"5,671    ",401    ,"2,822    ",
AZ.................................................................................,"5,922    ",409    ,"6,029    ",
CA.................................................................................,"8,203    ",430    ,"36,021    ",
CO.................................................................................,"6,529    ",438    ,"4,720    ",
CT.................................................................................,"7,818    ",362    ,"3,517    ",
DC.................................................................................,"14,126    ",147    ,571    ,
DE.................................................................................,"8,697    ",721    ,859    ,
FL.................................................................................,"6,770    ",496    ,"18,167    ",
GA.................................................................................,"6,067    ",413    ,"9,156    ",
IA.................................................................................,"6,948    ",624    ,"2,983    ",
ID.................................................................................,"5,741    ",504    ,"1,469    ",
IL.................................................................................,"6,682    ",425    ,"12,644    ",
IN.................................................................................,"6,322    ",378    ,"6,333    ",
KS.................................................................................,"6,509    ",647    ,"2,763    ",
KY.................................................................................,"6,103    ",445    ,"4,219    ",
LA.................................................................................,"7,090    ",490    ,"4,303    ",
MA.................................................................................,"8,043    ",338    ,"6,410    ",
MD.................................................................................,"7,004    ",432    ,"5,627    ",
ME.................................................................................,"7,531    ",603    ,"1,324    ",
MI.................................................................................,"6,572    ",361    ,"10,036    ",
MN.................................................................................,"7,466    ",590    ,"5,164    ",
MO.................................................................................,"5,918    ",472    ,"5,843    ",
MS.................................................................................,"6,626    ",593    ,"2,905    ",
MT.................................................................................,"6,535    ",731    ,953    ,
NC.................................................................................,"6,161    ",375    ,"8,917    ",
ND.................................................................................,"6,956    ",883    ,649    ,
NE.................................................................................,"6,606    ",619    ,"1,773    ",
NH.................................................................................,"6,231    ",474    ,"1,308    ",
NJ.................................................................................,"8,436    ",412    ,"8,662    ",
NM.................................................................................,"7,501    ",608    ,"1,962    ",
NV.................................................................................,"6,362    ",581    ,"2,523    ",
NY.................................................................................,"10,104    ",456    ,"19,105    ",
OH.................................................................................,"7,156    ",404    ,"11,481    ",
OK.................................................................................,"5,822    ",417    ,"3,594    ",
OR.................................................................................,"6,922    ",490    ,"3,671    ",
PA.................................................................................,"7,172    ",539    ,"12,511    ",
RI.................................................................................,"7,721    ",372    ,"1,063    ",
SC.................................................................................,"6,676    ",389    ,"4,358    ",
SD.................................................................................,"5,969    ",854    ,783    ,
TN.................................................................................,"5,670    ",359    ,"6,089    ",
TX.................................................................................,"5,948    ",472    ,"23,360    ",
UT.................................................................................,"6,177    ",437    ,"2,526    ",
VA.................................................................................,"6,573    ",383    ,"7,674    ",
VT.................................................................................,"7,869    ",610    ,623    ,
WA.................................................................................,"7,086    ",462    ,"6,371    ",
WI.................................................................................,"7,070    ",585    ,"5,578    ",
WV.................................................................................,"6,261    ",603    ,"1,828    ",
WY.................................................................................,"10,280    ","1,106    ",523    ,
