"State and Local General Expenditures, Per Capita, FY 2018",,,
State,Total,Highways,Population (thousands)
AL.................................................................................,"8,242    ",571    ,"4,976    "
AR.................................................................................,"8,189    ",669    ,"2,997    "
AZ.................................................................................,"7,374    ",384    ,"6,970    "
CA.................................................................................,"12,442    ",457    ,"39,536    "
CO.................................................................................,"9,508    ",598    ,"5,677    "
CT.................................................................................,"9,510    ",585    ,"3,611    "
DC.................................................................................,"20,892    ",877    ,686    
DE.................................................................................,"11,153    ",786    ,971    
FL.................................................................................,"7,697    ",529    ,"21,134    "
GA.................................................................................,"7,077    ",415    ,"10,533    "
IA.................................................................................,"10,059    ",900    ,"3,171    "
ID.................................................................................,"7,079    ",575    ,"1,769    "
IL.................................................................................,"9,588    ",613    ,"12,889    "
IN.................................................................................,"8,329    ",407    ,"6,726    "
KS.................................................................................,"9,191    ",585    ,"2,932    "
KY.................................................................................,"8,759    ",477    ,"4,487    "
LA.................................................................................,"9,299    ",479    ,"4,670    "
MA.................................................................................,"11,469    ",490    ,"6,994    "
MD.................................................................................,"10,148    ",608    ,"6,139    "
ME.................................................................................,"8,900    ",723    ,"1,351    "
MI.................................................................................,"8,809    ",463    ,"10,071    "
MN.................................................................................,"11,093    ",888    ,"5,650    "
MO.................................................................................,"7,824    ",424    ,"6,129    "
MS.................................................................................,"8,791    ",589    ,"2,975    "
MT.................................................................................,"9,032    ",810    ,"1,067    "
NC.................................................................................,"8,169    ",559    ,"10,276    "
ND.................................................................................,"11,833    ","1,845    ",771    
NE.................................................................................,"9,170    ",849    ,"1,945    "
NH.................................................................................,"8,358    ",551    ,"1,365    "
NJ.................................................................................,"10,578    ",433    ,"9,219    "
NM.................................................................................,"10,402    ",454    ,"2,103    "
NV.................................................................................,"7,784    ",698    ,"3,012    "
NY.................................................................................,"14,691    ",738    ,"20,223    "
OH.................................................................................,"9,306    ",513    ,"11,763    "
OK.................................................................................,"7,523    ",653    ,"3,928    "
OR.................................................................................,"11,281    ",503    ,"4,183    "
PA.................................................................................,"10,040    ",839    ,"12,981    "
RI.................................................................................,"10,377    ",502    ,"1,092    "
SC.................................................................................,"8,749    ",463    ,"5,021    "
SD.................................................................................,"8,214    ","1,041    ",875    
TN.................................................................................,"7,245    ",378    ,"6,807    "
TX.................................................................................,"8,471    ",769    ,"28,511    "
UT.................................................................................,"8,798    ",620    ,"3,181    "
VA.................................................................................,"8,902    ",655    ,"8,547    "
VT.................................................................................,"11,489    ","1,000    ",641    
WA.................................................................................,"10,413    ",580    ,"7,549    "
WI.................................................................................,"9,202    ",776    ,"5,859    "
WV.................................................................................,"8,906    ",729    ,"1,811    "
WY.................................................................................,"15,469    ","1,158    ",575    
,,,
