"State and Local General Expenditures, Per Capita, FY 2005",,,,
State,Total,Highways,Population (thousands),
AL,"6,031    ",381    ,"4,570    ",
AR,"5,370    ",400    ,"2,781    ",
AZ,"5,648    ",355    ,"5,839    ",
CA,"7,774    ",341    ,"35,828    ",
CO,"6,253    ",476    ,"4,632    ",
CT,"7,378    ",361    ,"3,507    ",
DC,"12,555    ",140    ,567    ,
DE,"8,100    ",722    ,845    ,
FL,"6,351    ",446    ,"17,842    ",
GA,"5,885    ",418    ,"8,926    ",
IA,"6,500    ",605    ,"2,964    ",
ID,"5,649    ",479    ,"1,428    ",
IL,"6,501    ",418    ,"12,610    ",
IN,"6,093    ",366    ,"6,279    ",
KS,"6,137    ",619    ,"2,745    ",
KY,"5,687    ",390    ,"4,183    ",
LA,"6,235    ",390    ,"4,577    ",
MA,"7,612    ",359    ,"6,403    ",
MD,"6,572    ",404    ,"5,592    ",
ME,"7,211    ",535    ,"1,319    ",
MI,"6,629    ",363    ,"10,051    ",
MN,"7,305    ",554    ,"5,120    ",
MO,"5,633    ",420    ,"5,790    ",
MS,"6,141    ",450    ,"2,906    ",
MT,"6,118    ",687    ,940    ,
NC,"5,964    ",408    ,"8,705    ",
ND,"6,729    ",808    ,646    ,
NE,"6,274    ",583    ,"1,761    ",
NH,"6,047    ",412    ,"1,298    ",
NJ,"7,762    ",363    ,"8,652    ",
NM,"7,218    ",503    ,"1,932    ",
NV,"6,141    ",640    ,"2,432    ",
NY,"9,656    ",462    ,"19,133    ",
OH,"6,802    ",385    ,"11,463    ",
OK,"5,399    ",373    ,"3,549    ",
OR,"6,567    ",462    ,"3,613    ",
PA,"7,029    ",545    ,"12,450    ",
RI,"7,413    ",352    ,"1,068    ",
SC,"6,558    ",386    ,"4,270    ",
SD,"5,759    ",820    ,775    ,
TN,"5,668    ",319    ,"5,991    ",
TX,"5,761    ",434    ,"22,778    ",
UT,"5,900    ",383    ,"2,458    ",
VA,"6,142    ",390    ,"7,577    ",
VT,"7,602    ",585    ,621    ,
WA,"7,024    ",442    ,"6,257    ",
WI,"6,802    ",545    ,"5,546    ",
WV,"6,022    ",572    ,"1,820    ",
WY,"9,831    ","1,015    ",514    ,
