"State and Local General Expenditures, Per Capita, FY 2017",,,
State,Total,Highways,Population (thousands)
AL.................................................................................,"8,081    ",502    ,"4,952    "
AR.................................................................................,"8,253    ",682    ,"2,991    "
AZ.................................................................................,"7,249    ",372    ,"6,880    "
CA.................................................................................,"11,704    ",417    ,"39,424    "
CO.................................................................................,"8,988    ",582    ,"5,600    "
CT.................................................................................,"9,410    ",621    ,"3,608    "
DC.................................................................................,"19,872    ",667    ,681    
DE.................................................................................,"11,205    ",874    ,961    
FL.................................................................................,"7,384    ",540    ,"20,872    "
GA.................................................................................,"6,914    ",415    ,"10,428    "
IA.................................................................................,"9,762    ",884    ,"3,163    "
ID.................................................................................,"6,727    ",507    ,"1,734    "
IL.................................................................................,"9,032    ",715    ,"12,925    "
IN.................................................................................,"8,087    ",383    ,"6,686    "
KS.................................................................................,"9,175    ",659    ,"2,927    "
KY.................................................................................,"8,621    ",491    ,"4,476    "
LA.................................................................................,"9,185    ",481    ,"4,679    "
MA.................................................................................,"11,166    ",548    ,"6,958    "
MD.................................................................................,"9,862    ",552    ,"6,113    "
ME.................................................................................,"8,659    ",734    ,"1,345    "
MI.................................................................................,"8,463    ",425    ,"10,050    "
MN.................................................................................,"10,523    ",859    ,"5,605    "
MO.................................................................................,"7,707    ",389    ,"6,114    "
MS.................................................................................,"8,821    ",581    ,"2,983    "
MT.................................................................................,"8,985    ",792    ,"1,058    "
NC.................................................................................,"7,906    ",479    ,"10,175    "
ND.................................................................................,"12,940    ","2,279    ",767    
NE.................................................................................,"9,222    ",801    ,"1,934    "
NH.................................................................................,"8,182    ",556    ,"1,359    "
NJ.................................................................................,"10,637    ",443    ,"9,175    "
NM.................................................................................,"10,219    ",435    ,"2,101    "
NV.................................................................................,"7,457    ",688    ,"2,956    "
NY.................................................................................,"13,956    ",605    ,"20,190    "
OH.................................................................................,"9,163    ",514    ,"11,738    "
OK.................................................................................,"7,561    ",659    ,"3,920    "
OR.................................................................................,"10,701    ",511    ,"4,147    "
PA.................................................................................,"9,988    ",756    ,"12,945    "
RI.................................................................................,"10,074    ",437    ,"1,085    "
SC.................................................................................,"8,611    ",459    ,"4,966    "
SD.................................................................................,"8,095    ","1,104    ",870    
TN.................................................................................,"6,976    ",334    ,"6,739    "
TX.................................................................................,"7,996    ",539    ,"28,192    "
UT.................................................................................,"8,327    ",586    ,"3,126    "
VA.................................................................................,"8,627    ",583    ,"8,503    "
VT.................................................................................,"11,252    ",960    ,639    
WA.................................................................................,"10,015    ",590    ,"7,447    "
WI.................................................................................,"9,262    ",959    ,"5,836    "
WV.................................................................................,"8,802    ",675    ,"1,823    "
WY.................................................................................,"15,784    ","1,151    ",576    
,,,
